slender        - струнка
freckles       - веснянки
hazel          - карий/ясно-коричневий
flat           - плоский
even           - навіть
pushy          - настирливий
curt           - короткий
considerate    - уважний
constitution   - конституція
forehead       - лоб
bald           - лисий
eye-lashes     - вії
obese          - ожиріння
toddler        - малюк
jealous        - ревнивий
cheekbones     - скулы
self-confident - впевнений у собі
auburn         - каштановий
peevish        - роздратований
stubborn       - впертий

swarthy        - смаглявий
thrifty        - ощадливий
complexion     - колір обличчя
sincere        - щирий
prudent        - розважливий
amiable        - привітний
